* Measurement data measured by REW V5.40 beta 100
* Source: /home/giacomo/DRC/DRC-120.blue/X801.wav
* Format: Imported Impulse Response, 48000.0 Hz sampling
* Dated: Sep 23, 2025 9:57:41 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Impulse Response imported from /home/giacomo/DRC/DRC-120.blue/X801.wav 131072 samples (2.73 s) of 32-bit Float data at 48 kHz
* Measurement: X801 (revised)
* Smoothing: None
* Frequency Step: 0.3662109 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
235.107403 -0.000 119.1816
235.473614 0.000 119.3852
235.839825 0.000 119.5888
236.206035 -0.000 119.7924
236.572246 -0.000 119.9957
236.938457 -0.000 120.1988
237.304668 0.000 120.4023
237.670879 0.000 120.6059
238.037090 0.000 120.8096
238.403301 -0.000 121.0131
238.769512 -0.000 121.2162
239.135723 -0.000 121.4196
239.501934 0.000 121.6232
239.868145 0.000 121.8268
240.234355 -0.000 122.0305
240.600566 -0.000 122.2338
240.966777 -0.000 122.4370
241.332988 0.000 122.6406
241.699199 0.000 122.8442
242.065410 0.000 123.0479
242.431621 -0.000 123.2514
242.797832 -0.000 123.4545
243.164043 -0.000 123.6579
243.530254 0.000 123.8615
243.896465 0.000 124.0652
244.262675 -0.000 124.2688
244.628886 -0.000 124.4721
244.995097 -0.000 124.6752
245.361308 0.000 124.8788
245.727519 0.000 125.0824
246.093730 0.000 125.2860
246.459941 -0.000 125.4895
246.826152 -0.000 125.6926
247.192363 -0.000 125.8959
247.558574 0.000 126.0995
247.924785 0.000 126.3031
248.290995 -0.000 126.5066
248.657206 -0.000 126.7098
249.023417 -0.000 126.9129
249.389628 0.000 127.1164
249.755839 0.000 127.3199
250.122050 -0.000 127.5234
250.488261 -0.000 127.7267
250.854472 -0.000 127.9297
251.220683 -0.000 128.1330
251.586894 0.000 128.3364
251.953105 0.000 128.5398
252.319315 -0.000 128.7433
252.685526 -0.000 128.9463
253.051737 -0.000 129.1492
253.417948 0.000 129.3526
253.784159 0.000 129.5559
254.150370 -0.000 129.7593
254.516581 -0.000 129.9624
254.882792 -0.000 130.1652
255.249003 -0.000 130.3683
255.615214 0.000 130.5715
255.981425 0.000 130.7748
256.347635 -0.000 130.9780
256.713846 -0.000 131.1808
257.080057 -0.000 131.3836
257.446268 0.000 131.5867
257.812479 0.000 131.7898
258.178690 -0.000 131.9930
258.544901 -0.000 132.1958
258.911112 -0.000 132.3984
259.277323 -0.000 132.6013
